origin_name,origin_lat,origin_lng,dest_lat,dest_lng,ship_datetime,delivery_datetime,value,weight,cube,brand
Atlanta GA DC,33.6407,-84.4277,35.2392,-80.8443,2026-01-29 16:35:04,2026-01-30 10:49:51,34.22,6.3,0.49,Atlas
Chicago IL DC,41.85,-87.882,41.9474,-87.5651,2026-01-25 19:17:09,2026-01-26 12:10:47,5.27,4.9,0.66,Pacific
Reno NV DC,39.5296,-119.8138,34.0584,-118.138,2026-01-23 16:15:35,2026-01-23 18:25:29,60.78,3.2,0.17,Horizon
Edison NJ DC,40.5187,-74.4121,40.6879,-74.4214,2026-01-15 18:14:18,2026-01-16 12:11:43,16.54,2.9,0.32,Pacific
Dallas TX DC,32.8998,-96.8379,29.9478,-95.5937,2026-01-07 15:28:12,2026-01-07 17:36:08,7.04,2.2,0.3,Alpine
Reno NV DC,39.5296,-119.8138,33.2344,-112.2642,2026-01-12 12:44:55,2026-01-13 09:06:06,61.76,2.9,0.33,Pacific
Memphis TN DC,35.1175,-89.9711,38.4036,-89.9881,2026-01-21 10:04:27,2026-01-21 18:16:05,76.89,3.2,0.55,Ridge
Atlanta GA DC,33.6407,-84.4277,39.8658,-86.0968,2026-01-11 17:10:53,2026-01-11 18:55:00,61.59,12.6,3.03,Cascade
Chicago IL DC,41.85,-87.882,39.8517,-104.8161,2026-01-08 11:09:53,2026-01-08 17:33:08,16.86,4.6,0.34,Alpine
Reno NV DC,39.5296,-119.8138,32.7785,-117.4586,2026-01-23 13:27:18,2026-01-24 09:28:49,40.08,7.5,1.84,Cascade
Atlanta GA DC,33.6407,-84.4277,33.6131,-84.4354,2026-01-17 16:20:59,2026-01-18 10:11:47,33.89,4.5,0.38,Alpine
Dallas TX DC,32.8998,-96.8379,29.824,-95.4615,2026-01-12 14:29:38,2026-01-12 14:33:44,51.26,5.2,1.54,Horizon
Atlanta GA DC,33.6407,-84.4277,40.4523,-73.9405,2026-01-12 11:33:43,2026-01-12 18:03:08,17.55,14.8,3.52,Atlas
Edison NJ DC,40.5187,-74.4121,40.7617,-74.0667,2026-01-03 19:07:37,2026-01-04 11:01:04,24.84,1.3,0.31,Summit
Memphis TN DC,35.1175,-89.9711,29.7058,-95.4345,2026-01-24 13:19:38,2026-01-24 15:06:25,27.01,4.1,1.11,Ridge
Edison NJ DC,40.5187,-74.4121,40.8218,-74.0343,2026-01-20 16:22:59,2026-01-21 11:09:38,11.88,12.0,0.72,Ridge
Edison NJ DC,40.5187,-74.4121,40.6495,-73.8933,2026-01-01 17:35:37,2026-01-01 14:48:10,34.61,3.3,0.44,Ridge
Chicago IL DC,41.85,-87.882,41.8116,-87.5024,2026-01-18 17:27:50,2026-01-19 08:37:53,62.26,8.9,2.67,Horizon
Chicago IL DC,41.85,-87.882,34.9907,-89.896,2026-01-22 13:58:52,2026-01-22 18:30:53,23.83,1.8,0.52,Summit
Memphis TN DC,35.1175,-89.9711,29.8536,-95.1176,2026-01-13 06:13:34,2026-01-13 11:41:18,15.22,1.5,0.44,Ridge
Edison NJ DC,40.5187,-74.4121,40.5799,-74.2457,2026-01-22 11:16:13,2026-01-22 18:54:18,13.91,5.0,1.29,Pacific
Reno NV DC,39.5296,-119.8138,35.247,-80.9539,2026-01-14 13:19:19,2026-01-15 11:26:01,5.03,7.8,2.0,Summit
Dallas TX DC,32.8998,-96.8379,36.2354,-86.4136,2026-01-05 17:23:45,2026-01-06 11:54:50,26.92,3.1,0.21,Metro
Chicago IL DC,41.85,-87.882,39.9118,-86.1045,2026-01-13 16:23:25,2026-01-13 15:42:30,111.71,2.3,0.25,Summit
Dallas TX DC,32.8998,-96.8379,32.8217,-96.721,2026-01-12 15:50:49,2026-01-13 09:45:53,37.96,14.9,4.44,Alpine
Memphis TN DC,35.1175,-89.9711,29.8823,-95.3444,2026-01-21 18:42:33,2026-01-22 08:33:55,14.41,10.7,1.25,Pacific
Dallas TX DC,32.8998,-96.8379,32.4973,-96.8432,2026-01-02 12:41:31,2026-01-02 18:58:11,5.69,5.9,1.55,Horizon
Dallas TX DC,32.8998,-96.8379,30.3195,-97.8745,2026-01-09 13:51:49,2026-01-10 10:50:31,47.53,3.7,0.22,Alpine
Chicago IL DC,41.85,-87.882,32.7686,-117.1128,2026-01-05 18:44:55,2026-01-06 09:33:54,64.34,1.0,0.29,Pacific
Edison NJ DC,40.5187,-74.4121,35.192,-89.8846,2026-01-05 14:02:08,2026-01-06 10:39:42,12.05,1.0,0.25,Metro
Chicago IL DC,41.85,-87.882,29.86,-95.597,2026-01-20 18:55:05,2026-01-21 06:48:46,125.72,1.0,0.09,Horizon
Memphis TN DC,35.1175,-89.9711,33.7532,-118.4724,2026-01-22 09:40:53,2026-01-22 16:35:58,75.3,10.9,1.12,Metro
Dallas TX DC,32.8998,-96.8379,30.4224,-97.9361,2026-01-12 10:59:48,2026-01-12 17:19:27,185.27,5.3,1.59,Ridge
Edison NJ DC,40.5187,-74.4121,40.6367,-73.8728,2026-01-24 07:59:24,2026-01-24 15:45:34,154.51,2.7,0.74,Alpine
Atlanta GA DC,33.6407,-84.4277,35.1303,-81.0152,2026-01-01 14:52:06,2026-01-01 17:53:08,60.45,25.2,6.1,Alpine
Reno NV DC,39.5296,-119.8138,33.286,-112.1635,2026-01-24 18:24:57,2026-01-25 10:08:37,6.62,1.4,0.19,Summit
Memphis TN DC,35.1175,-89.9711,35.228,-90.0387,2026-01-08 11:26:56,2026-01-08 16:46:12,20.78,2.0,0.24,Cascade
Memphis TN DC,35.1175,-89.9711,40.7555,-73.9427,2026-01-29 18:48:53,2026-01-30 08:12:31,30.11,23.5,3.91,Cascade
Dallas TX DC,32.8998,-96.8379,33.2503,-112.2473,2026-01-03 16:34:42,2026-01-04 08:35:39,212.04,2.8,0.62,Summit
Edison NJ DC,40.5187,-74.4121,29.9491,-95.4664,2026-01-26 14:51:28,2026-01-27 11:57:23,18.01,10.3,2.44,Cascade
Memphis TN DC,35.1175,-89.9711,43.0293,-88.1909,2026-01-24 10:20:04,2026-01-24 15:49:30,9.51,3.4,0.81,Alpine
Memphis TN DC,35.1175,-89.9711,41.2934,-96.0463,2026-01-18 12:08:48,2026-01-18 18:11:03,15.98,3.1,0.79,Pacific
Edison NJ DC,40.5187,-74.4121,40.991,-73.7858,2026-01-30 12:09:00,2026-01-30 18:33:46,119.24,4.4,0.67,Alpine
Reno NV DC,39.5296,-119.8138,42.9278,-87.6976,2026-01-28 09:23:55,2026-01-28 16:20:46,65.0,1.3,0.25,Cascade
Reno NV DC,39.5296,-119.8138,34.0045,-117.9598,2026-01-17 17:35:26,2026-01-18 06:21:10,134.22,22.9,1.72,Atlas
Edison NJ DC,40.5187,-74.4121,42.6853,-70.9738,2026-01-20 13:04:10,2026-01-20 18:18:19,80.95,2.4,0.68,Summit
Edison NJ DC,40.5187,-74.4121,40.8192,-73.817,2026-01-27 13:13:06,2026-01-27 15:08:03,118.27,4.7,1.17,Summit
Reno NV DC,39.5296,-119.8138,33.4605,-111.9155,2026-01-12 15:08:39,2026-01-12 18:59:38,23.11,2.0,0.54,Atlas
Atlanta GA DC,33.6407,-84.4277,34.0458,-118.2487,2026-01-18 13:36:51,2026-01-19 12:36:04,4.56,12.2,1.02,Summit
Dallas TX DC,32.8998,-96.8379,34.0608,-118.2364,2026-01-04 12:21:27,2026-01-04 15:30:25,5.93,2.0,0.59,Atlas
Chicago IL DC,41.85,-87.882,37.2694,-122.0334,2026-01-20 14:55:13,2026-01-21 09:38:39,23.56,4.0,0.63,Horizon
Edison NJ DC,40.5187,-74.4121,40.7531,-74.0398,2026-01-09 08:09:56,2026-01-09 14:28:44,3.01,3.8,0.25,Ridge
Chicago IL DC,41.85,-87.882,41.7771,-87.7588,2026-01-09 11:10:35,2026-01-09 17:02:12,13.65,5.5,0.43,Metro
Reno NV DC,39.5296,-119.8138,33.4044,-112.1851,2026-01-24 13:36:43,2026-01-25 08:39:44,17.83,25.9,5.62,Horizon
Memphis TN DC,35.1175,-89.9711,32.7889,-96.7987,2026-01-10 12:36:40,2026-01-10 17:36:56,18.36,1.5,0.17,Pacific
Memphis TN DC,35.1175,-89.9711,32.5617,-117.3228,2026-01-17 12:39:19,2026-01-17 15:12:58,4.0,2.0,0.37,Ridge
Edison NJ DC,40.5187,-74.4121,40.7391,-74.0132,2026-01-17 16:02:52,2026-01-17 17:44:11,41.66,5.7,0.6,Summit
Reno NV DC,39.5296,-119.8138,40.8075,-73.94,2026-01-13 18:56:46,2026-01-14 07:57:47,15.53,3.0,0.75,Summit
Edison NJ DC,40.5187,-74.4121,40.6428,-74.1796,2026-01-21 19:52:32,2026-01-22 07:50:46,8.31,1.9,0.1,Metro
Atlanta GA DC,33.6407,-84.4277,35.1535,-90.2402,2026-01-23 17:42:30,2026-01-24 09:42:38,68.17,7.8,0.97,Alpine
Dallas TX DC,32.8998,-96.8379,37.3505,-121.8066,2026-01-28 15:56:49,2026-01-29 11:29:53,122.45,1.5,0.27,Atlas
Edison NJ DC,40.5187,-74.4121,40.7222,-74.1091,2026-01-04 14:17:35,2026-01-05 12:02:11,134.77,17.2,5.0,Metro
Dallas TX DC,32.8998,-96.8379,28.2334,-82.0273,2026-01-18 17:39:05,2026-01-19 06:34:39,28.86,32.4,8.09,Alpine
Edison NJ DC,40.5187,-74.4121,40.6399,-73.7583,2026-01-03 09:08:16,2026-01-03 15:26:30,79.17,13.7,2.04,Horizon
Dallas TX DC,32.8998,-96.8379,40.8436,-73.729,2026-01-08 19:34:51,2026-01-09 09:21:40,12.3,2.8,0.32,Metro
Dallas TX DC,32.8998,-96.8379,29.4453,-98.5333,2026-01-26 17:44:20,2026-01-27 12:16:15,11.21,3.3,0.23,Metro
Dallas TX DC,32.8998,-96.8379,29.5635,-95.7975,2026-01-01 14:42:11,2026-01-02 08:45:29,104.04,3.9,0.62,Metro
Edison NJ DC,40.5187,-74.4121,40.4441,-74.2952,2026-01-05 12:07:17,2026-01-05 18:29:39,90.87,3.1,0.78,Ridge
Atlanta GA DC,33.6407,-84.4277,33.7983,-118.2794,2026-01-25 12:02:13,2026-01-25 17:51:32,8.21,2.6,0.35,Metro
Chicago IL DC,41.85,-87.882,47.5928,-122.2477,2026-01-04 09:32:06,2026-01-04 18:31:20,13.42,1.6,0.39,Atlas
Chicago IL DC,41.85,-87.882,47.566,-122.3459,2026-01-13 14:39:49,2026-01-14 12:04:19,273.3,4.7,0.31,Alpine
Chicago IL DC,41.85,-87.882,39.8443,-86.2439,2026-01-27 18:16:51,2026-01-28 10:43:46,38.66,9.0,0.89,Summit
Atlanta GA DC,33.6407,-84.4277,29.533,-98.4471,2026-01-02 12:18:55,2026-01-03 12:51:27,47.98,7.6,0.68,Summit
Chicago IL DC,41.85,-87.882,44.981,-93.3443,2026-01-26 12:49:42,2026-01-26 17:35:11,24.71,18.5,4.93,Alpine
Edison NJ DC,40.5187,-74.4121,40.7705,-74.2387,2026-01-17 14:55:52,2026-01-18 08:15:39,57.16,1.3,0.35,Alpine
Dallas TX DC,32.8998,-96.8379,25.7444,-80.3345,2026-01-16 17:21:53,2026-01-17 09:44:21,23.34,0.8,0.11,Pacific
Reno NV DC,39.5296,-119.8138,32.7727,-117.2123,2026-01-25 14:45:39,2026-01-26 12:45:15,20.61,4.4,0.93,Summit
Edison NJ DC,40.5187,-74.4121,40.6796,-73.9839,2026-01-03 14:31:58,2026-01-04 10:41:22,183.21,4.6,1.28,Summit
Edison NJ DC,40.5187,-74.4121,35.2637,-80.8437,2026-01-24 15:38:56,2026-01-25 08:52:58,16.38,3.9,0.45,Pacific
Memphis TN DC,35.1175,-89.9711,34.9133,-81.0594,2026-01-28 17:25:14,2026-01-29 10:48:43,23.37,1.5,0.36,Pacific
Edison NJ DC,40.5187,-74.4121,40.6843,-73.901,2026-01-11 15:26:27,2026-01-11 15:03:43,227.14,4.5,0.73,Metro
Edison NJ DC,40.5187,-74.4121,34.1542,-118.1903,2026-01-23 13:34:52,2026-01-24 08:55:30,152.95,8.0,1.38,Atlas
Dallas TX DC,32.8998,-96.8379,30.0024,-95.4218,2026-01-03 13:54:33,2026-01-03 18:40:57,14.36,1.9,0.25,Summit
Chicago IL DC,41.85,-87.882,40.7603,-73.912,2026-01-11 15:11:21,2026-01-12 08:48:47,28.1,3.5,0.96,Summit
Memphis TN DC,35.1175,-89.9711,43.0997,-88.0149,2026-01-04 12:50:47,2026-01-04 17:03:14,68.81,4.8,0.49,Metro
Dallas TX DC,32.8998,-96.8379,32.8263,-96.7479,2026-01-21 19:32:51,2026-01-22 12:30:32,38.41,2.3,0.65,Ridge
Reno NV DC,39.5296,-119.8138,28.46,-81.4241,2026-01-22 11:49:10,2026-01-23 11:22:49,210.03,15.9,3.81,Ridge
Dallas TX DC,32.8998,-96.8379,40.6296,-74.0177,2026-01-18 11:09:52,2026-01-18 14:41:30,7.04,15.4,3.82,Summit
Memphis TN DC,35.1175,-89.9711,36.2095,-96.0384,2026-01-25 14:49:44,2026-01-26 11:08:34,536.43,1.2,0.2,Atlas
Reno NV DC,39.5296,-119.8138,41.4115,-95.9671,2026-01-10 18:33:28,2026-01-11 06:36:07,13.66,22.2,6.1,Horizon
Reno NV DC,39.5296,-119.8138,37.3121,-121.8969,2026-01-09 16:26:06,2026-01-10 08:57:15,40.48,8.6,2.07,Horizon
Dallas TX DC,32.8998,-96.8379,29.734,-95.1087,2026-01-12 13:53:23,2026-01-12 18:08:05,31.37,9.5,0.82,Summit
Memphis TN DC,35.1175,-89.9711,35.1741,-80.7179,2026-01-04 16:25:01,2026-01-05 09:27:32,64.23,8.7,2.39,Alpine
Edison NJ DC,40.5187,-74.4121,36.2913,-86.5665,2026-01-21 09:58:20,2026-01-21 14:41:44,126.82,2.9,0.29,Metro
Memphis TN DC,35.1175,-89.9711,35.2423,-80.8736,2026-01-12 18:05:16,2026-01-13 12:27:35,9.11,1.4,0.14,Ridge
Dallas TX DC,32.8998,-96.8379,32.743,-96.8315,2026-01-20 13:28:07,2026-01-20 16:01:36,27.14,16.6,2.54,Horizon
Atlanta GA DC,33.6407,-84.4277,32.6088,-117.0028,2026-01-27 13:59:46,2026-01-28 08:09:11,12.84,11.3,3.19,Summit
Chicago IL DC,41.85,-87.882,41.9479,-87.6473,2026-01-03 19:57:18,2026-01-04 07:14:46,46.13,2.1,0.22,Atlas
Atlanta GA DC,33.6407,-84.4277,33.8297,-118.2623,2026-01-15 11:07:19,2026-01-15 17:22:35,20.61,9.4,0.8,Atlas
Reno NV DC,39.5296,-119.8138,34.3188,-118.1699,2026-01-09 17:43:39,2026-01-10 08:29:34,22.78,8.7,1.55,Horizon
Chicago IL DC,41.85,-87.882,40.8206,-74.191,2026-01-27 09:06:18,2026-01-27 16:09:54,117.45,1.7,0.4,Ridge
Chicago IL DC,41.85,-87.882,33.6867,-84.5365,2026-01-26 14:15:24,2026-01-27 12:12:14,5.82,3.5,0.38,Ridge
Chicago IL DC,41.85,-87.882,36.4145,-95.955,2026-01-22 09:07:42,2026-01-22 17:52:03,58.83,9.8,1.48,Horizon
Atlanta GA DC,33.6407,-84.4277,40.2151,-82.9741,2026-01-05 13:14:47,2026-01-05 16:26:14,45.9,1.4,0.2,Metro
Dallas TX DC,32.8998,-96.8379,29.3573,-98.4706,2026-01-18 13:49:27,2026-01-19 08:07:13,40.93,6.2,1.28,Pacific
Atlanta GA DC,33.6407,-84.4277,33.9997,-84.6615,2026-01-28 17:38:54,2026-01-29 09:16:30,60.85,7.6,0.93,Horizon
Reno NV DC,39.5296,-119.8138,33.8236,-118.4224,2026-01-17 15:22:57,2026-01-17 18:51:29,46.71,5.7,1.6,Summit
Atlanta GA DC,33.6407,-84.4277,27.8289,-82.3707,2026-01-24 13:39:26,2026-01-24 17:14:51,165.29,4.8,0.42,Atlas
Reno NV DC,39.5296,-119.8138,33.4314,-112.159,2026-01-10 10:47:01,2026-01-10 16:36:01,47.49,4.7,0.45,Summit
Chicago IL DC,41.85,-87.882,41.7738,-87.9225,2026-01-27 14:46:25,2026-01-27 17:44:46,37.43,2.2,0.41,Metro
Chicago IL DC,41.85,-87.882,39.9503,-82.9042,2026-01-14 12:52:37,2026-01-15 10:00:02,16.19,38.2,9.45,Summit
Memphis TN DC,35.1175,-89.9711,40.0913,-82.6404,2026-01-29 13:05:58,2026-01-29 16:37:48,3.48,1.3,0.18,Metro
Edison NJ DC,40.5187,-74.4121,40.9401,-74.2792,2026-01-22 13:41:34,2026-01-22 16:40:27,36.68,2.8,0.62,Pacific
Edison NJ DC,40.5187,-74.4121,40.7853,-73.8079,2026-01-21 10:59:26,2026-01-21 17:43:58,40.58,3.3,0.82,Cascade
Atlanta GA DC,33.6407,-84.4277,36.1945,-86.657,2026-01-14 12:06:50,2026-01-14 18:15:24,7.6,2.3,0.53,Cascade
Edison NJ DC,40.5187,-74.4121,33.7901,-118.1127,2026-01-29 13:44:22,2026-01-30 08:25:40,6.6,2.2,0.4,Cascade
Dallas TX DC,32.8998,-96.8379,30.0767,-97.7717,2026-01-26 14:23:12,2026-01-26 18:53:14,45.61,3.5,0.29,Metro
Dallas TX DC,32.8998,-96.8379,29.6456,-98.6286,2026-01-29 16:26:35,2026-01-30 11:29:27,36.33,8.0,1.81,Metro
Chicago IL DC,41.85,-87.882,43.134,-87.9821,2026-01-22 11:55:45,2026-01-22 18:38:50,85.14,2.7,0.78,Cascade
Dallas TX DC,32.8998,-96.8379,41.313,-96.1445,2026-01-05 17:02:36,2026-01-06 10:20:49,24.93,5.8,1.68,Horizon
Atlanta GA DC,33.6407,-84.4277,32.9883,-97.2071,2026-01-10 13:20:16,2026-01-10 14:29:58,36.67,3.0,0.66,Pacific
Chicago IL DC,41.85,-87.882,34.1608,-118.391,2026-01-18 17:31:55,2026-01-19 09:07:10,8.98,18.4,2.27,Atlas
Edison NJ DC,40.5187,-74.4121,40.856,-74.0003,2026-01-23 15:13:56,2026-01-24 08:53:21,41.58,1.7,0.43,Horizon
Edison NJ DC,40.5187,-74.4121,40.8053,-73.9674,2026-01-26 16:05:24,2026-01-26 14:37:46,131.18,3.6,0.36,Ridge
Chicago IL DC,41.85,-87.882,41.6274,-87.6817,2026-01-22 13:11:24,2026-01-23 11:26:08,30.48,3.1,0.27,Alpine
Reno NV DC,39.5296,-119.8138,33.9204,-118.3654,2026-01-21 07:35:40,2026-01-21 14:17:48,313.34,2.0,0.21,Ridge
Dallas TX DC,32.8998,-96.8379,38.8607,-77.3758,2026-01-29 20:20:59,2026-01-30 09:47:38,44.86,8.2,2.22,Cascade
Reno NV DC,39.5296,-119.8138,47.6732,-122.5411,2026-01-20 14:15:26,2026-01-21 10:26:09,80.16,2.0,0.55,Summit
Atlanta GA DC,33.6407,-84.4277,34.162,-118.2874,2026-01-22 09:31:45,2026-01-22 17:14:30,39.05,0.8,0.19,Cascade
Chicago IL DC,41.85,-87.882,40.4483,-73.9142,2026-01-14 14:04:59,2026-01-14 16:49:26,29.54,4.5,0.78,Metro
Edison NJ DC,40.5187,-74.4121,41.0581,-74.1152,2026-01-04 18:06:52,2026-01-04 16:16:37,14.26,13.5,1.26,Alpine
Memphis TN DC,35.1175,-89.9711,33.8591,-118.3121,2026-01-27 10:36:27,2026-01-27 15:48:30,109.2,21.4,2.98,Summit
Reno NV DC,39.5296,-119.8138,32.7348,-96.7642,2026-01-23 19:12:12,2026-01-24 10:23:33,15.81,1.2,0.3,Metro
Edison NJ DC,40.5187,-74.4121,40.9732,-73.8906,2026-01-07 13:55:13,2026-01-07 18:50:37,126.48,5.7,0.57,Pacific
Reno NV DC,39.5296,-119.8138,37.3289,-121.984,2026-01-06 17:30:34,2026-01-06 18:35:40,33.1,1.9,0.4,Horizon
Reno NV DC,39.5296,-119.8138,40.8783,-73.7544,2026-01-29 09:08:55,2026-01-29 18:01:59,67.69,3.8,0.36,Cascade
Dallas TX DC,32.8998,-96.8379,32.8562,-96.7808,2026-01-23 10:15:26,2026-01-23 15:51:04,72.27,3.9,0.72,Horizon
Reno NV DC,39.5296,-119.8138,29.9564,-95.5612,2026-01-04 14:06:47,2026-01-04 14:57:25,158.97,5.5,0.74,Alpine
Reno NV DC,39.5296,-119.8138,32.6783,-117.0896,2026-01-12 19:12:55,2026-01-13 10:52:41,122.15,2.0,0.51,Alpine
Atlanta GA DC,33.6407,-84.4277,38.9562,-76.8199,2026-01-04 12:01:23,2026-01-04 15:52:57,16.97,3.4,0.48,Pacific
Atlanta GA DC,33.6407,-84.4277,25.96,-79.9797,2026-01-03 13:09:47,2026-01-04 08:35:58,26.88,2.5,0.43,Alpine
Atlanta GA DC,33.6407,-84.4277,40.5941,-74.1167,2026-01-03 10:26:08,2026-01-03 17:43:08,13.58,36.0,4.88,Pacific
Chicago IL DC,41.85,-87.882,36.3213,-95.7342,2026-01-01 12:02:20,2026-01-01 14:13:58,9.01,6.6,1.07,Atlas
Atlanta GA DC,33.6407,-84.4277,27.9309,-82.4059,2026-01-21 16:27:21,2026-01-22 09:07:21,2.24,4.3,0.26,Alpine
Edison NJ DC,40.5187,-74.4121,25.8144,-80.3642,2026-01-01 18:35:04,2026-01-02 11:25:54,15.88,2.3,0.41,Alpine
Chicago IL DC,41.85,-87.882,33.5337,-112.2805,2026-01-05 18:21:18,2026-01-06 06:59:59,30.63,1.4,0.16,Ridge
Reno NV DC,39.5296,-119.8138,39.5443,-104.6468,2026-01-09 21:31:43,2026-01-10 11:55:53,5.03,1.8,0.33,Metro
Dallas TX DC,32.8998,-96.8379,29.7021,-95.5632,2026-01-07 11:42:04,2026-01-07 15:41:28,41.16,11.6,1.01,Metro
Reno NV DC,39.5296,-119.8138,32.4364,-117.2047,2026-01-15 22:25:08,2026-01-16 06:44:53,41.39,3.9,0.65,Pacific
Edison NJ DC,40.5187,-74.4121,40.7121,-74.1231,2026-01-24 08:36:22,2026-01-24 18:42:59,174.92,4.5,0.56,Ridge
Memphis TN DC,35.1175,-89.9711,39.6066,-86.0326,2026-01-20 12:37:41,2026-01-20 14:05:36,79.12,5.0,0.76,Atlas
Memphis TN DC,35.1175,-89.9711,36.2569,-95.854,2026-01-15 11:53:55,2026-01-15 18:06:19,22.8,8.0,1.57,Cascade
Chicago IL DC,41.85,-87.882,28.514,-81.3706,2026-01-28 15:42:15,2026-01-28 15:39:06,29.49,11.7,1.09,Cascade
Chicago IL DC,41.85,-87.882,41.9975,-87.8153,2026-01-19 12:54:37,2026-01-20 12:23:07,7.85,10.0,1.99,Ridge
Chicago IL DC,41.85,-87.882,38.6771,-90.237,2026-01-01 15:37:14,2026-01-02 12:03:36,6.52,3.7,0.68,Horizon
Edison NJ DC,40.5187,-74.4121,42.0655,-70.9658,2026-01-16 17:28:52,2026-01-17 10:47:32,29.72,3.2,0.54,Ridge
Dallas TX DC,32.8998,-96.8379,37.3831,-121.9694,2026-01-17 13:48:08,2026-01-18 08:38:09,151.83,4.5,0.53,Horizon
Atlanta GA DC,33.6407,-84.4277,32.4279,-117.011,2026-01-22 08:42:04,2026-01-22 17:16:39,44.58,1.7,0.39,Pacific
Atlanta GA DC,33.6407,-84.4277,38.7951,-90.095,2026-01-13 10:15:51,2026-01-13 16:43:39,69.5,3.1,0.24,Ridge
Reno NV DC,39.5296,-119.8138,32.8548,-117.3314,2026-01-06 10:59:31,2026-01-06 16:01:35,83.24,5.6,1.59,Atlas
Edison NJ DC,40.5187,-74.4121,40.5886,-73.9683,2026-01-01 12:09:46,2026-01-01 17:29:47,194.48,1.7,0.2,Horizon
Dallas TX DC,32.8998,-96.8379,41.0858,-74.0828,2026-01-08 10:14:40,2026-01-08 17:41:40,14.31,0.2,0.05,Ridge
Reno NV DC,39.5296,-119.8138,32.7445,-117.1479,2026-01-03 22:07:39,2026-01-04 07:37:17,164.02,2.0,0.4,Horizon
Edison NJ DC,40.5187,-74.4121,28.7043,-81.5492,2026-01-07 12:21:27,2026-01-07 15:37:03,11.59,4.9,0.65,Alpine
Chicago IL DC,41.85,-87.882,39.5287,-85.8695,2026-01-15 13:27:34,2026-01-15 14:19:44,273.74,1.0,0.15,Cascade
Memphis TN DC,35.1175,-89.9711,29.741,-95.6887,2026-01-02 09:38:24,2026-01-02 18:05:39,54.26,11.4,2.14,Cascade
Reno NV DC,39.5296,-119.8138,33.9071,-118.1892,2026-01-04 14:11:07,2026-01-05 11:16:46,179.37,6.3,1.58,Summit
Dallas TX DC,32.8998,-96.8379,30.0655,-97.8569,2026-01-10 10:44:48,2026-01-10 14:20:51,16.13,1.3,0.12,Ridge
Memphis TN DC,35.1175,-89.9711,28.5461,-81.0345,2026-01-02 16:27:54,2026-01-03 08:14:59,10.39,9.8,1.46,Atlas
Atlanta GA DC,33.6407,-84.4277,33.8525,-118.1183,2026-01-16 13:03:38,2026-01-16 14:37:10,48.01,1.5,0.29,Horizon
Atlanta GA DC,33.6407,-84.4277,41.1912,-74.267,2026-01-09 18:39:34,2026-01-10 11:24:26,26.36,4.0,1.02,Pacific
Reno NV DC,39.5296,-119.8138,34.1675,-118.3741,2026-01-17 17:19:46,2026-01-18 09:16:47,11.36,5.8,0.64,Metro
Atlanta GA DC,33.6407,-84.4277,33.9309,-118.1607,2026-01-20 14:18:38,2026-01-21 11:05:55,58.79,2.2,0.18,Horizon
Reno NV DC,39.5296,-119.8138,34.3135,-118.3051,2026-01-27 12:25:30,2026-01-27 18:34:34,23.61,0.8,0.17,Alpine
Edison NJ DC,40.5187,-74.4121,40.8664,-74.1112,2026-01-18 17:31:35,2026-01-19 09:31:31,18.79,11.1,1.55,Alpine
Memphis TN DC,35.1175,-89.9711,35.1378,-89.9691,2026-01-24 16:27:13,2026-01-24 14:04:01,35.3,8.9,0.95,Metro
Dallas TX DC,32.8998,-96.8379,30.2285,-98.0416,2026-01-14 10:10:01,2026-01-14 17:26:41,14.43,3.3,0.62,Summit
Reno NV DC,39.5296,-119.8138,33.5512,-112.1722,2026-01-29 18:27:01,2026-01-30 10:41:03,16.58,2.4,0.68,Ridge
Reno NV DC,39.5296,-119.8138,33.8038,-118.303,2026-01-15 18:05:08,2026-01-16 11:43:41,60.25,2.0,0.47,Ridge
Edison NJ DC,40.5187,-74.4121,40.8145,-73.7413,2026-01-21 16:22:35,2026-01-22 12:14:55,44.64,2.4,0.14,Summit
Dallas TX DC,32.8998,-96.8379,33.7813,-118.323,2026-01-27 12:19:54,2026-01-27 18:50:32,221.73,4.8,0.72,Ridge
Chicago IL DC,41.85,-87.882,33.3928,-112.079,2026-01-30 13:42:25,2026-01-31 10:05:38,21.51,5.7,1.54,Cascade
Reno NV DC,39.5296,-119.8138,29.6404,-95.4818,2026-01-04 11:58:00,2026-01-05 10:55:42,11.03,1.8,0.32,Pacific
Chicago IL DC,41.85,-87.882,39.9363,-83.2684,2026-01-13 10:09:16,2026-01-13 18:56:28,15.56,1.7,0.2,Ridge
Reno NV DC,39.5296,-119.8138,30.2646,-97.634,2026-01-26 17:24:49,2026-01-27 06:17:44,17.42,1.8,0.19,Ridge
Edison NJ DC,40.5187,-74.4121,40.7305,-73.8125,2026-01-30 18:31:57,2026-01-30 15:51:09,191.76,4.6,0.89,Summit
Edison NJ DC,40.5187,-74.4121,40.9127,-73.8156,2026-01-07 14:44:50,2026-01-07 17:01:04,29.14,14.1,2.93,Ridge
Reno NV DC,39.5296,-119.8138,39.8756,-104.8595,2026-01-06 13:03:57,2026-01-07 09:03:39,86.5,3.2,0.91,Alpine
Chicago IL DC,41.85,-87.882,38.864,-76.7783,2026-01-17 15:26:19,2026-01-18 12:34:08,12.52,3.5,0.98,Alpine
Memphis TN DC,35.1175,-89.9711,42.0221,-87.9593,2026-01-18 12:01:41,2026-01-19 08:18:13,54.6,49.9,6.23,Cascade
